"","X","text","favoriteCount","created","id","retweetCount","subject","url","source","categories"
"11595",11595,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/MFl5XYsmSi",0,"2014-11-07 22:28:34",530849315091017728,2,"Alabama's 5th congressional district","http://t.co/MFl5XYsmSi","US House of Representatives","Morgan County, Alabama"
"11596",11596,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1833 establishments in Alabama"
"11597",11597,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1841 disestablishments in Alabama"
"11598",11598,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1843 establishments in Alabama"
"11599",11599,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1861 disestablishments in Alabama"
"11600",11600,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1868 establishments in Alabama"
"11601",11601,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1963 disestablishments in Alabama"
"11602",11602,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","1965 establishments in Alabama"
"11603",11603,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Colbert County, Alabama"
"11604",11604,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Congressional districts of Alabama"
"11605",11605,"Alabama's 5th congressional district Wikipedia article edited anonymously from US House of Representatives http://t.co/hh3FM05LvO",0,"2014-11-07 22:27:50",530849133074976768,3,"Alabama's 5th congressional district","http://t.co/hh3FM05LvO","US House of Representatives","Constituencies disestablished in 1841"
